pk,gid,seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,allow_0,allow_1-6,allow_7-13,allow_14-20,allow_21-27,allow_28-34,allow_35+,f_pts
1&ATL,1,2000,1,ATL,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,8.0
1&SF,1,2000,1,SF,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,-2.0
2&CLE,2,2000,1,CLE,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
2&JAC,2,2000,1,JAC,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.0
3&DAL,3,2000,1,DAL,1.0,0,0,3,0,0,0,0,0,0,0,0,0,1,3.0
3&PHI,3,2000,1,PHI,4.0,0,0,2,0,1,0,0,0,0,1,0,0,0,15.0
4&GB,4,2000,1,GB,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0
4&NYJ,4,2000,1,NYJ,1.0,0,0,1,1,0,0,0,0,0,1,0,0,0,6.0
5&IND,5,2000,1,IND,1.0,0,0,1,0,1,0,0,0,0,1,0,0,0,10.0
5&KC,5,2000,1,KC,1.0,0,0,1,1,0,0,0,0,0,0,1,0,0,5.0
6&MIA,6,2000,1,MIA,4.0,0,0,4,2,0,0,1,0,0,0,0,0,0,26.0
6&SEA,6,2000,1,SEA,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
7&MIN,7,2000,1,MIN,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0
7&CHI,7,2000,1,CHI,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
8&NE,8,2000,1,NE,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
8&TB,8,2000,1,TB,6.0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.0
9&NO,9,2000,1,NO,2.0,0,0,1,1,1,0,0,0,0,1,0,0,0,13.0
9&DET,9,2000,1,DET,5.0,0,1,1,2,0,0,0,0,1,0,0,0,0,18.0
10&NYG,10,2000,1,NYG,1.0,0,0,3,2,0,0,0,0,0,1,0,0,0,12.0
10&ARI,10,2000,1,ARI,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,4.0
11&SD,11,2000,1,SD,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,10.0
11&OAK,11,2000,1,OAK,2.0,1,0,3,1,0,0,0,1,0,0,0,0,0,21.0
12&BAL,12,2000,1,BAL,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,13.0
12&PIT,12,2000,1,PIT,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
13&CAR,13,2000,1,CAR,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
13&WAS,13,2000,1,WAS,6.0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.0
14&BUF,14,2000,1,BUF,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,10.0
14&TEN,14,2000,1,TEN,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
15&DEN,15,2000,1,DEN,2.0,0,0,3,0,1,0,0,0,0,0,0,0,1,10.0
15&STL,15,2000,1,STL,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
16&BAL,16,2000,2,BAL,4.0,0,0,2,2,0,0,0,0,0,0,0,0,1,8.0
16&JAC,16,2000,2,JAC,3.0,0,0,2,0,0,0,0,0,0,0,0,0,1,3.0
17&GB,17,2000,2,GB,5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.0
17&BUF,17,2000,2,BUF,4.0,0,0,0,2,0,0,0,0,0,1,0,0,0,9.0
18&CIN,18,2000,2,CIN,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0
18&CLE,18,2000,2,CLE,7.0,0,1,2,1,0,0,0,0,1,0,0,0,0,20.0
19&DEN,19,2000,2,DEN,6.0,0,0,0,3,0,0,0,0,0,1,0,0,0,13.0
19&ATL,19,2000,2,ATL,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
20&WAS,20,2000,2,WAS,2.0,0,0,2,0,0,0,0,0,0,1,0,0,0,7.0
20&DET,20,2000,2,DET,1.0,0,0,4,0,0,0,0,0,1,0,0,0,0,13.0
21&OAK,21,2000,2,OAK,2.0,0,0,2,1,0,0,0,0,0,0,0,1,0,7.0
21&IND,21,2000,2,IND,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.0
22&MIN,22,2000,2,MIN,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,9.0
22&MIA,22,2000,2,MIA,3.0,0,0,3,1,0,0,0,0,1,0,0,0,0,15.0
23&PHI,23,2000,2,PHI,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
23&NYG,23,2000,2,NYG,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.0
24&SD,24,2000,2,SD,0.0,0,0,2,1,0,0,0,0,0,0,0,1,0,5.0
24&NO,24,2000,2,NO,5.0,0,0,2,0,0,0,0,0,0,0,1,0,0,9.0
25&SF,25,2000,2,SF,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
25&CAR,25,2000,2,CAR,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0
26&SEA,26,2000,2,SEA,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,5.0
26&STL,26,2000,2,STL,3.0,0,0,2,1,1,0,0,0,0,0,0,1,0,14.0
27&CHI,27,2000,2,CHI,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.0
27&TB,27,2000,2,TB,5.0,0,0,2,2,1,0,1,0,0,0,0,0,0,29.0
28&TEN,28,2000,2,TEN,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
28&KC,28,2000,2,KC,4.0,0,0,2,1,1,0,0,0,0,1,0,0,0,17.0
29&DAL,29,2000,2,DAL,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0
29&ARI,29,2000,2,ARI,1.0,0,0,0,3,0,0,0,0,0,0,0,1,0,6.0
30&NE,30,2000,2,NE,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.0
30&NYJ,30,2000,2,NYJ,6.0,0,0,0,2,0,0,0,0,0,1,0,0,0,11.0
31&ATL,31,2000,3,ATL,4.0,0,2,2,1,0,0,0,0,1,0,0,0,0,20.0
31&CAR,31,2000,3,CAR,2.0,0,0,0,2,0,0,0,0,0,1,0,0,0,7.0
32&CHI,32,2000,3,CHI,2.0,0,2,0,1,0,0,0,0,0,1,0,0,0,11.0
32&NYG,32,2000,3,NYG,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,10.0
33&PIT,33,2000,3,PIT,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
33&CLE,33,2000,3,CLE,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.0
