pk,f_pts,gid,seas,wk,player
1&MA-0700,22.0,1,2000,1,MA-0700
1&WR-0500,4.0,1,2000,1,WR-0500
10&BD-0100,3.0,10,2000,1,BD-0100
10&CB-1700,4.0,10,2000,1,CB-1700
100&AD-0800,8.0,100,2000,7,AD-0800
100&MH-3100,8.0,100,2000,7,MH-3100
1000&AV-0400,9.0,1000,2003,15,AV-0400
1000&SM-0600,5.0,1000,2003,15,SM-0600
1001&DB-3900,7.0,1001,2003,15,DB-3900
1001&JR-1100,-3.0,1001,2003,15,JR-1100
1002&MS-5200,6.0,1002,2003,15,MS-5200
1002&SJ-0300,8.0,1002,2003,15,SJ-0300
1003&RL-1300,8.0,1003,2003,15,RL-1300
1003&SC-0700,7.0,1003,2003,15,SC-0700
1004&JB-7100,8.0,1004,2003,15,JB-7100
1004&JW-3300,10.0,1004,2003,15,JW-3300
1005&KB-2300,3.0,1005,2003,15,KB-2300
1005&MG-1200,9.0,1005,2003,15,MG-1200
1006&GA-0300,7.0,1006,2003,15,GA-0300
1006&RL-0900,8.0,1006,2003,15,RL-0900
1007&BC-3000,9.0,1007,2003,15,BC-3000
1008&JC-0900,8.0,1008,2003,15,JC-0900
1008&MB-4600,0.0,1008,2003,15,MB-4600
1009&DA-0300,12.0,1009,2003,15,DA-0300
1009&OM-0100,11.0,1009,2003,15,OM-0100
101&JH-0900,8.0,101,2000,8,JH-0900
101&MG-1200,17.0,101,2000,8,MG-1200
1010&AE-0700,10.0,1010,2003,16,AE-0700
1010&MA-0700,2.0,1010,2003,16,MA-0700
1011&AV-0400,3.0,1011,2003,16,AV-0400
1011&DB-3900,4.0,1011,2003,16,DB-3900
1012&JF-0900,12.0,1012,2003,16,JF-0900
1012&MG-1200,2.0,1012,2003,16,MG-1200
1013&OM-0100,8.0,1013,2003,16,OM-0100
1013&RL-0900,3.0,1013,2003,16,RL-0900
1014&JH-0900,2.0,1014,2003,16,JH-0900
1014&JK-0200,10.0,1014,2003,16,JK-0200
1015&JH-0500,4.0,1015,2003,16,JH-0500
1015&PE-0100,6.0,1015,2003,16,PE-0100
1016&BC-2300,-2.0,1016,2003,16,BC-2300
1016&MS-5200,4.0,1016,2003,16,MS-5200
1017&BC-3000,15.0,1017,2003,16,BC-3000
1017&MB-4600,4.0,1017,2003,16,MB-4600
1018&GA-0300,10.0,1018,2003,16,GA-0300
1018&KB-2300,7.0,1018,2003,16,KB-2300
1019&JC-0900,5.0,1019,2003,16,JC-0900
1019&SM-0600,7.0,1019,2003,16,SM-0600
102&DB-3900,3.0,102,2000,8,DB-3900
102&MA-0700,8.0,102,2000,8,MA-0700
1020&DA-0300,2.0,1020,2003,16,DA-0300
1020&TP-1200,11.0,1020,2003,16,TP-1200
1021&JR-1100,10.0,1021,2003,16,JR-1100
1021&SC-0700,6.0,1021,2003,16,SC-0700
1022&JB-7100,4.0,1022,2003,16,JB-7100
1022&NR-0100,1.0,1022,2003,16,NR-0100
1023&JW-3300,11.0,1023,2003,16,JW-3300
1023&SG-1100,5.0,1023,2003,16,SG-1100
1024&JE-0200,7.0,1024,2003,16,JE-0200
1024&MV-0100,6.0,1024,2003,16,MV-0100
1025&RL-1300,11.0,1025,2003,16,RL-1300
1025&SJ-0300,1.0,1025,2003,16,SJ-0300
103&AD-0800,2.0,103,2000,8,AD-0800
103&MS-5200,6.0,103,2000,8,MS-5200
104&JN-0600,10.0,104,2000,8,JN-0600
104&WR-0500,2.0,104,2000,8,WR-0500
105&JE-0200,1.0,105,2000,8,JE-0200
105&NR-0100,7.0,105,2000,8,NR-0100
1053&AV-0400,10.0,1053,2004,1,AV-0400
1053&MV-0100,5.0,1053,2004,1,MV-0100
1054&AE-0700,3.0,1054,2004,1,AE-0700
1054&OM-0100,0.0,1054,2004,1,OM-0100
1055&JS-1100,7.0,1055,2004,1,JS-1100
1055&RL-0900,3.0,1055,2004,1,RL-0900
1056&JH-0900,8.0,1056,2004,1,JH-0900
