seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,pts_allow
2000,1,ATL,1.0,0,0,1,0,1,0,28.0000
2000,1,SF,0.0,0,0,0,1,0,0,36.0000
2000,1,CLE,4.0,0,0,0,0,0,0,27.0000
2000,1,JAC,0.0,0,0,0,1,0,0,7.0000
2000,1,DAL,1.0,0,0,3,0,0,0,41.0000
2000,1,PHI,4.0,0,0,2,0,1,0,14.0000
2000,1,GB,0.0,0,0,1,0,0,0,20.0000
2000,1,NYJ,1.0,0,0,1,1,0,0,16.0000
2000,1,IND,1.0,0,0,1,0,1,0,14.0000
2000,1,KC,1.0,0,0,1,1,0,0,27.0000
2000,1,MIA,4.0,0,0,4,2,0,0,0.0000
2000,1,SEA,2.0,0,0,0,0,0,0,23.0000
2000,1,MIN,2.0,0,0,0,1,0,0,27.0000
2000,1,CHI,1.0,0,0,1,0,0,0,30.0000
2000,1,NE,1.0,0,0,0,1,0,0,21.0000
2000,1,TB,6.0,0,0,0,1,0,0,16.0000
2000,1,NO,2.0,0,0,1,1,1,0,14.0000
2000,1,DET,5.0,0,1,1,2,0,0,10.0000
2000,1,NYG,1.0,0,0,3,2,0,0,16.0000
2000,1,ARI,0.0,0,0,1,1,0,0,21.0000
2000,1,SD,4.0,0,0,0,1,0,0,9.0000
2000,1,OAK,2.0,1,0,3,1,0,0,6.0000
2000,1,BAL,1.0,0,0,0,1,0,0,0.0000
2000,1,PIT,1.0,0,0,0,0,0,0,16.0000
2000,1,CAR,0.0,0,0,0,0,0,0,20.0000
2000,1,WAS,6.0,0,0,0,1,0,0,17.0000
2000,1,BUF,4.0,0,0,1,0,0,0,13.0000
2000,1,TEN,5.0,0,0,0,0,0,0,16.0000
2000,1,DEN,2.0,0,0,3,0,1,0,41.0000
2000,1,STL,4.0,0,0,0,0,0,0,36.0000
2000,2,BAL,4.0,0,0,2,2,0,0,36.0000
2000,2,JAC,3.0,0,0,2,0,0,0,39.0000
2000,2,GB,5.0,0,0,1,0,0,0,27.0000
2000,2,BUF,4.0,0,0,0,2,0,0,18.0000
2000,2,CIN,1.0,0,0,1,0,0,0,24.0000
2000,2,CLE,7.0,0,1,2,1,0,0,7.0000
2000,2,DEN,6.0,0,0,0,3,0,0,14.0000
2000,2,ATL,2.0,0,0,0,0,0,1,42.0000
2000,2,WAS,2.0,0,0,2,0,0,0,15.0000
2000,2,DET,1.0,0,0,4,0,0,0,10.0000
2000,2,OAK,2.0,0,0,2,1,0,0,31.0000
2000,2,IND,0.0,0,0,0,0,0,0,38.0000
2000,2,MIN,3.0,0,0,1,0,0,0,7.0000
2000,2,MIA,3.0,0,0,3,1,0,0,13.0000
2000,2,PHI,1.0,0,0,0,0,0,0,33.0000
2000,2,NYG,3.0,0,1,0,0,0,0,18.0000
2000,2,SD,0.0,0,0,2,1,0,0,28.0000
2000,2,NO,5.0,0,0,2,0,0,0,27.0000
2000,2,SF,2.0,0,0,1,0,0,0,38.0000
2000,2,CAR,2.0,0,0,1,0,0,0,22.0000
