pk,gid,seas,wk,fkicker,good,0-19,20-29,30-39,40-49,50+,XP
1&WR-0500,1,2000,1,WR-0500,1,0,0,0,0,0,1
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,1,0,0
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,1,0,0
1&MA-0700,1,2000,1,MA-0700,1,0,1,0,0,0,0
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,1,0,0
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,0,0,1
1&WR-0500,1,2000,1,WR-0500,1,0,0,0,0,0,1
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,1,0,0
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,0,0,1
1&WR-0500,1,2000,1,WR-0500,1,0,0,0,0,0,1
1&MA-0700,1,2000,1,MA-0700,1,0,0,0,0,0,1
1&WR-0500,1,2000,1,WR-0500,1,0,0,0,0,0,1
2&MH-3100,2,2000,1,MH-3100,1,0,0,0,0,0,1
2&PD-0200,2,2000,1,PD-0200,1,0,0,0,0,0,1
2&MH-3100,2,2000,1,MH-3100,1,0,0,0,0,1,0
2&MH-3100,2,2000,1,MH-3100,1,0,0,0,0,0,1
2&MH-3100,2,2000,1,MH-3100,1,0,1,0,0,0,0
2&MH-3100,2,2000,1,MH-3100,1,0,0,0,0,0,1
3&DA-0300,3,2000,1,DA-0300,1,0,0,0,0,0,1
3&DA-0300,3,2000,1,DA-0300,1,0,0,0,0,0,1
3&DA-0300,3,2000,1,DA-0300,1,0,0,0,0,0,1
3&DA-0300,3,2000,1,DA-0300,1,0,0,1,0,0,0
3&TS-1100,3,2000,1,TS-1100,1,0,0,1,0,0,0
3&TS-1100,3,2000,1,TS-1100,1,0,0,1,0,0,0
3&DA-0300,3,2000,1,DA-0300,1,0,0,1,0,0,0
3&DA-0300,3,2000,1,DA-0300,1,0,0,0,0,0,1
3&DA-0300,3,2000,1,DA-0300,1,0,0,0,0,0,1
4&RL-1300,4,2000,1,RL-1300,1,0,0,0,0,0,1
4&JH-0500,4,2000,1,JH-0500,1,0,0,0,0,0,1
4&JH-0500,4,2000,1,JH-0500,0,0,0,0,0,1,0
4&RL-1300,4,2000,1,RL-1300,1,0,0,0,1,0,0
4&JH-0500,4,2000,1,JH-0500,1,0,1,0,0,0,0
4&JH-0500,4,2000,1,JH-0500,0,0,0,0,1,0,0
4&RL-1300,4,2000,1,RL-1300,1,0,0,0,1,0,0
4&JH-0500,4,2000,1,JH-0500,1,0,0,1,0,0,0
4&RL-1300,4,2000,1,RL-1300,1,0,0,0,1,0,0
4&JH-0500,4,2000,1,JH-0500,1,0,0,0,0,0,1
5&MV-0100,5,2000,1,MV-0100,1,0,0,0,0,0,1
5&PS-0900,5,2000,1,PS-0900,1,0,0,0,0,0,1
5&MV-0100,5,2000,1,MV-0100,1,0,0,0,0,0,1
5&PS-0900,5,2000,1,PS-0900,1,0,0,0,0,0,1
5&MV-0100,5,2000,1,MV-0100,1,0,1,0,0,0,0
5&MV-0100,5,2000,1,MV-0100,1,0,0,0,0,0,1
5&MV-0100,5,2000,1,MV-0100,1,0,0,0,1,0,0
6&OM-0100,6,2000,1,OM-0100,1,0,0,0,0,0,1
6&OM-0100,6,2000,1,OM-0100,1,0,0,0,1,0,0
6&OM-0100,6,2000,1,OM-0100,1,0,1,0,0,0,0
6&OM-0100,6,2000,1,OM-0100,1,0,0,1,0,0,0
6&KH-1500,6,2000,1,KH-1500,0,0,0,0,0,1,0
6&OM-0100,6,2000,1,OM-0100,1,0,0,0,0,0,1
7&GA-0300,7,2000,1,GA-0300,1,0,0,1,0,0,0
7&PE-0100,7,2000,1,PE-0100,1,0,0,0,0,0,1
7&GA-0300,7,2000,1,GA-0300,1,0,0,1,0,0,0
7&PE-0100,7,2000,1,PE-0100,1,0,1,0,0,0,0
7&GA-0300,7,2000,1,GA-0300,1,0,0,0,1,0,0
7&PE-0100,7,2000,1,PE-0100,1,0,0,0,1,0,0
7&PE-0100,7,2000,1,PE-0100,1,0,0,0,0,0,1
7&GA-0300,7,2000,1,GA-0300,1,0,0,0,0,0,1
7&GA-0300,7,2000,1,GA-0300,1,0,0,0,0,0,1
7&GA-0300,7,2000,1,GA-0300,1,0,0,0,0,0,1
