seas,wk,player,pos1,py,ints,tdp,ry,tdr,recy,tdrec,rety,tdret,fuml,conv
2000,1,KW-1500,WR,0,0,0,0,0,0,0,56,0,0,0
2000,1,CG-0400,RB,0,0,0,62,0,45,0,0,0,0,0
2000,1,JG-0600,QB,252,1,3,22,0,0,0,0,0,0,0
2000,1,JR-2000,WR,0,0,0,-2,0,59,0,0,0,0,0
2000,1,TO-0200,WR,0,0,0,0,0,72,1,0,0,0,0
2000,1,FB-0200,RB,0,0,0,10,1,25,2,0,0,0,0
2000,1,JA-1600,RB,0,0,0,77,0,20,0,0,0,1,0
2000,1,CC-1400,QB,264,0,2,12,0,-4,0,0,0,0,0
2000,1,BC-1100,RB,0,0,0,5,0,12,0,0,0,0,0
2000,1,TM-0900,WR,0,0,0,0,0,72,1,0,0,0,0
2000,1,GC-0500,TE,0,0,0,0,0,26,0,0,0,0,0
2000,1,TD-2500,WR,0,0,0,0,0,0,0,95,0,0,0
2000,1,SJ-0400,WR,0,0,0,1,0,148,1,0,0,0,0
2000,1,RK-0200,TE,0,0,0,0,0,10,0,0,0,0,0
2000,1,BF-0400,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,TJ-1100,RB,0,0,0,0,0,0,0,18,0,0,0
2000,1,JS-6900,WR,0,0,0,0,0,25,0,19,0,0,0
2000,1,BK-1100,TE,0,0,0,0,0,6,0,0,0,0,0
2000,1,TJ-0400,RB,0,0,0,0,0,0,0,0,0,0,0
2000,1,MB-4500,QB,301,0,1,5,0,0,0,0,0,0,0
2000,1,KM-0900,WR,0,0,0,0,0,115,0,0,0,0,0
2000,1,DJ-2200,TE,0,0,0,0,0,12,0,0,0,0,0
2000,1,SM-0100,RB,0,0,0,74,1,0,0,0,0,0,0
2000,1,ER-0200,RB,0,0,0,64,0,13,0,0,0,0,0
2000,1,TC-2600,QB,160,0,1,32,0,0,0,0,0,0,0
2000,1,DP-0500,WR,0,0,0,0,0,9,0,38,0,0,0
2000,1,DC-1500,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,RB-1100,WR,0,0,0,0,0,0,0,41,0,0,0
2000,1,JS-4400,WR,0,0,0,0,0,52,1,0,0,0,0
2000,1,DN-1400,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,KB-1700,TE,0,0,0,0,0,85,0,0,0,0,0
2000,1,AW-1000,WR,0,0,0,0,0,12,0,0,0,0,0
2000,1,JW-2500,RB,0,0,0,0,0,0,0,51,0,0,0
2000,1,DS-1800,RB,0,0,0,0,0,12,0,0,0,0,0
2000,1,CH-4400,RB,0,0,0,45,1,13,0,0,0,0,0
2000,1,JD-1100,WR,0,0,0,0,0,83,1,0,0,0,0
2000,1,KJ-0600,WR,0,0,0,0,0,32,0,0,0,0,0
2000,1,AS-0800,TE,0,0,0,0,0,24,0,0,0,1,0
2000,1,ME-0300,RB,0,0,0,0,0,-1,0,0,0,0,0
2000,1,JM-1100,QB,0,0,0,-5,0,0,0,0,0,0,0
2000,1,DM-2200,QB,130,2,1,29,1,0,0,0,0,0,0
2000,1,CL-0900,TE,0,0,0,0,0,6,0,0,0,0,0
2000,1,DS-3500,RB,0,0,0,201,1,61,0,0,0,0,0
2000,1,CJ-1400,WR,0,0,0,8,0,5,0,0,0,0,0
2000,1,JT-2200,TE,0,0,0,0,0,1,1,0,0,0,0
2000,1,JT-3900,WR,0,0,0,0,0,0,0,118,0,0,0
2000,1,TA-0300,QB,0,1,0,0,0,0,0,0,0,0,0
2000,1,RI-0200,WR,0,0,0,33,0,36,0,0,0,0,1
2000,1,ES-1000,RB,0,0,0,29,0,0,0,0,0,0,0
2000,1,JG-0500,WR,0,0,0,0,0,62,1,2,0,0,0
2000,1,RT-0800,RB,0,0,0,0,0,0,0,0,0,0,0
2000,1,BM-3300,RB,0,0,0,39,1,5,0,61,0,0,0
2000,1,JH-1800,TE,0,0,0,0,0,3,0,0,0,0,0
2000,1,TS-1900,WR,0,0,0,0,0,1,0,0,0,0,0
2000,1,TP-1500,WR,0,0,0,0,0,29,0,0,0,0,0
2000,1,LB-1200,TE,0,0,0,0,0,12,0,0,0,0,0
2000,1,CW-0700,RB,0,0,0,0,0,5,0,0,0,0,0
2000,1,RC-2800,QB,130,1,1,5,0,0,0,0,0,0,1
2000,1,AV-0100,WR,0,0,0,0,0,8,0,0,0,0,0
2000,1,WM-0400,WR,0,0,0,0,0,10,0,0,0,0,0
2000,1,JM-3500,WR,0,0,0,0,0,9,0,0,0,0,0
2000,1,CM-0400,RB,0,0,0,0,0,2,0,0,0,0,0
2000,1,SP-1800,RB,0,0,0,29,0,0,0,0,0,0,0
2000,1,KD-0600,QB,0,1,0,0,0,0,0,0,0,0,0
2000,1,DD-2400,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,MW-1600,RB,0,0,0,0,0,10,0,0,0,0,0
2000,1,BF-0100,QB,152,1,1,13,0,0,0,0,0,0,0
2000,1,AG-1600,RB,0,0,0,41,0,21,0,0,0,1,0
2000,1,TD-0800,TE,0,0,0,0,0,15,1,0,0,0,0
2000,1,AF-1300,WR,0,0,0,0,0,59,0,0,0,0,0
2000,1,DW-0800,WR,0,0,0,0,0,104,0,0,0,0,0
2000,1,VT-0200,QB,261,1,1,9,0,0,0,0,0,0,0
2000,1,CM-0600,RB,0,0,0,110,1,34,1,0,0,0,0
2000,1,WC-0100,WR,0,0,0,0,0,47,0,0,0,0,0
2000,1,RA-1100,RB,0,0,0,0,0,41,0,0,0,0,0
2000,1,VB-0200,WR,0,0,0,0,0,25,0,0,0,0,0
2000,1,BF-1100,TE,0,0,0,0,0,4,0,0,0,0,0
2000,1,BS-1100,WR,0,0,0,0,0,38,0,0,0,0,0
2000,1,CL-0600,WR,0,0,0,0,0,11,0,0,0,0,0
2000,1,BM-3100,RB,0,0,0,8,0,0,0,26,0,0,0
2000,1,LC-0800,WR,0,0,0,0,0,0,0,41,0,0,0
2000,1,BP-0100,RB,0,0,0,-1,0,10,0,0,0,0,0
2000,1,WH-0600,RB,0,0,0,0,0,4,0,0,0,0,0
2000,1,DD-2600,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,TR-0300,RB,0,0,0,58,0,24,1,0,0,0,0
2000,1,DB-1600,RB,0,0,0,-4,0,17,0,0,0,0,0
2000,1,PM-0200,QB,273,1,1,-3,0,0,0,0,0,0,0
2000,1,MH-1200,WR,0,0,0,0,0,115,0,0,0,0,0
2000,1,EJ-0200,RB,0,0,0,124,1,40,1,0,0,1,0
2000,1,EG-0600,QB,212,1,2,0,0,0,0,0,0,0,0
2000,1,KL-1100,WR,0,0,0,0,0,29,0,0,0,0,0
2000,1,SM-3500,WR,0,0,0,0,0,58,0,0,0,0,0
2000,1,TG-1300,TE,0,0,0,0,0,34,0,0,0,0,0
2000,1,DA-0600,WR,0,0,0,0,0,50,1,0,0,0,0
2000,1,JP-1300,WR,0,0,0,0,0,55,0,0,0,0,0
2000,1,MC-1600,RB,0,0,0,5,0,0,0,111,0,0,0
2000,1,AA-0600,RB,0,0,0,-2,0,0,0,0,0,0,0
2000,1,LP-0100,WR,0,0,0,0,0,0,0,18,0,0,0
2000,1,FM-0700,RB,0,0,0,15,0,0,0,0,0,0,0
2000,1,EG-0700,WR,0,0,0,0,0,35,0,0,0,0,0
2000,1,KA-0900,RB,0,0,0,0,0,0,0,0,0,0,0
2000,1,TD-2000,TE,0,0,0,0,0,0,0,0,0,0,0
2000,1,LS-1100,RB,0,0,0,145,1,12,0,0,0,1,0
2000,1,JF-1400,QB,134,0,1,9,0,0,0,0,0,0,0
2000,1,TM-0600,WR,0,0,0,0,0,19,0,0,0,0,0
2000,1,BE-0500,WR,0,0,0,-1,0,16,0,0,0,0,0
2000,1,TT-1100,RB,0,0,0,9,0,22,0,0,0,0,0
2000,1,CR-1500,WR,0,0,0,0,0,0,0,160,0,1,0
2000,1,RB-3600,RB,0,0,0,3,0,9,0,0,0,0,0
2000,1,JK-1500,QB,54,4,0,5,0,0,0,0,0,1,0
2000,1,DM-0600,WR,0,0,0,0,0,9,0,0,0,0,0
2000,1,SD-0500,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,LS-0700,WR,0,0,0,0,0,30,0,11,0,0,0
2000,1,RW-1000,RB,0,0,0,56,0,32,0,0,0,0,0
2000,1,OG-0100,WR,0,0,0,0,0,21,1,0,0,0,0
2000,1,DJ-0100,WR,0,0,0,0,0,15,0,0,0,0,0
2000,1,IM-0200,TE,0,0,0,0,0,10,0,0,0,0,0
2000,1,RK-0800,RB,0,0,0,19,0,6,0,0,0,0,0
2000,1,HG-0200,TE,0,0,0,0,0,8,0,0,0,0,0
2000,1,BH-2100,QB,30,0,0,4,0,0,0,0,0,0,0
2000,1,SA-0600,RB,0,0,0,5,0,0,0,0,0,0,0
2000,1,JW-4000,WR,0,0,0,-5,0,9,0,0,0,0,0
2000,1,DC-4400,QB,190,1,0,73,3,0,0,0,0,0,0
2000,1,RS-2000,RB,0,0,0,109,0,3,0,0,0,0,0
2000,1,JD-1000,TE,0,0,0,0,0,31,0,0,0,0,0
2000,1,MW-2900,RB,0,0,0,-1,0,0,0,0,0,0,0
2000,1,GM-1100,WR,0,0,0,0,0,0,0,187,0,0,0
2000,1,CM-2200,QB,290,0,2,87,1,0,0,0,0,0,0
2000,1,MR-1400,WR,0,0,0,0,0,86,1,0,0,1,0
2000,1,JA-0800,RB,0,0,0,60,0,17,0,0,0,0,0
2000,1,BE-0600,WR,0,0,0,1,0,61,0,0,0,0,0
2000,1,CE-0600,RB,0,0,0,11,0,15,0,0,0,0,0
2000,1,JA-1100,TE,0,0,0,0,0,36,1,0,0,0,0
2000,1,MB-2800,WR,0,0,0,-6,0,59,0,0,0,0,0
2000,1,JK-1600,TE,0,0,0,5,0,32,0,0,0,0,0
2000,1,AJ-1700,TE,0,0,0,0,0,9,0,0,0,0,0
2000,1,CC-1000,WR,0,0,0,0,0,26,0,0,0,0,0
2000,1,EK-0300,WR,0,0,0,0,0,16,0,0,0,0,0
2000,1,DP-0200,RB,0,0,0,0,0,0,0,0,0,0,0
2000,1,RM-5000,WR,0,0,0,0,0,89,0,0,0,0,0
2000,1,AM-1100,TE,0,0,0,0,0,0,0,0,0,0,0
2000,1,MB-3800,WR,0,0,0,0,0,0,0,0,0,0,0
2000,1,KW-1100,WR,0,0,0,0,0,8,0,101,0,1,0
2000,1,KF-0200,RB,0,0,0,21,0,62,0,85,0,1,1
2000,1,DB-2600,QB,216,0,1,30,0,0,0,0,0,0,0
2000,1,TG-1100,WR,0,0,0,0,0,56,1,0,0,0,0
2000,1,EB-1200,TE,0,0,0,0,0,15,0,0,0,0,0
2000,1,WD-0700,RB,0,0,0,56,0,5,0,0,0,0,0
2000,1,MA-0600,RB,0,0,0,54,2,6,0,0,0,0,0
2000,1,SK-0400,QB,167,0,1,21,0,0,0,0,0,0,0
2000,1,DM-3000,TE,0,0,0,0,0,6,0,0,0,0,0
2000,1,TB-3300,WR,0,0,0,33,0,70,0,118,1,0,0
2000,1,JG-3200,WR,0,0,0,6,0,67,0,0,0,0,0
2000,1,KJ-0700,WR,0,0,0,3,0,64,0,0,0,0,0
