pk,gid,seas,wk,qb,tot_sack
1&JG-0600,1,2000,1,JG-0600,1
2&MB-4500,2,2000,1,MB-4500,4
3&TA-0300,3,2000,1,TA-0300,5
3&DM-2200,3,2000,1,DM-2200,1
3&RC-2800,3,2000,1,RC-2800,1
4&BF-0100,4,2000,1,BF-0100,1
5&EG-0600,5,2000,1,EG-0600,1
5&PM-0200,5,2000,1,PM-0200,1
6&JK-1500,6,2000,1,JK-1500,2
6&BH-2100,6,2000,1,BH-2100,4
6&JF-1400,6,2000,1,JF-1400,2
7&DC-4400,7,2000,1,DC-4400,1
7&CM-2200,7,2000,1,CM-2200,2
8&DB-2600,8,2000,1,DB-2600,7
8&SK-0400,8,2000,1,SK-0400,1
9&JB-3800,9,2000,1,JB-3800,5
9&SC-0200,9,2000,1,SC-0200,3
10&JP-3200,10,2000,1,JP-3200,1
11&RG-0200,11,2000,1,RG-0200,4
11&RL-0300,11,2000,1,RL-0300,2
12&KG-0800,12,2000,1,KG-0800,1
12&TB-0200,12,2000,1,TB-0200,1
13&SB-0700,13,2000,1,SB-0700,6
14&RJ-1200,14,2000,1,RJ-1200,5
14&SM-2400,14,2000,1,SM-2400,4
15&BG-1900,15,2000,1,BG-1900,4
15&KW-0500,15,2000,1,KW-0500,2
16&MB-4500,16,2000,2,MB-4500,4
16&TB-0200,16,2000,2,TB-0200,3
17&RJ-1200,17,2000,2,RJ-1200,5
17&BF-0100,17,2000,2,BF-0100,4
18&AS-1400,18,2000,2,AS-1400,7
18&TC-2600,18,2000,2,TC-2600,1
19&CC-1400,19,2000,2,CC-1400,4
19&BG-1900,19,2000,2,BG-1900,2
19&DJ-1800,19,2000,2,DJ-1800,2
20&CB-0900,20,2000,2,CB-0900,2
20&BJ-1400,20,2000,2,BJ-1400,1
21&PM-0200,21,2000,2,PM-0200,2
22&DC-4400,22,2000,2,DC-4400,3
22&JF-1400,22,2000,2,JF-1400,3
23&KC-2000,23,2000,2,KC-2000,1
23&DM-2200,23,2000,2,DM-2200,3
24&RL-0300,24,2000,2,RL-0300,5
25&RM-4300,25,2000,2,RM-4300,3
25&JL-1500,25,2000,2,JL-1500,2
26&JK-1500,26,2000,2,JK-1500,3
26&KW-0500,26,2000,2,KW-0500,2
27&SK-0400,27,2000,2,SK-0400,2
27&CM-2200,27,2000,2,CM-2200,6
28&SM-2400,28,2000,2,SM-2400,2
28&EG-0600,28,2000,2,EG-0600,3
28&NO-0100,28,2000,2,NO-0100,2
29&JP-3200,29,2000,2,JP-3200,3
29&RC-2800,29,2000,2,RC-2800,1
30&DB-2600,30,2000,2,DB-2600,7
30&VT-0200,30,2000,2,VT-0200,3
31&SB-0700,31,2000,3,SB-0700,4
31&CC-1400,31,2000,3,CC-1400,2
32&KC-2000,32,2000,3,KC-2000,2
32&CM-2200,32,2000,3,CM-2200,4
33&KG-0800,33,2000,3,KG-0800,3
34&CB-0900,34,2000,3,CB-0900,8
35&BF-0100,35,2000,3,BF-0100,6
35&DM-2200,35,2000,3,DM-2200,6
36&MB-4500,36,2000,3,MB-4500,4
36&AS-1400,36,2000,3,AS-1400,5
37&MM-5000,37,2000,3,MM-5000,5
37&EG-0600,37,2000,3,EG-0600,3
37&RL-0300,37,2000,3,RL-0300,1
38&DC-4400,38,2000,3,DC-4400,5
38&DB-2600,38,2000,3,DB-2600,3
39&RJ-1200,39,2000,3,RJ-1200,3
40&BG-1900,40,2000,3,BG-1900,2
40&RG-0200,40,2000,3,RG-0200,5
41&JB-3800,41,2000,3,JB-3800,2
41&JK-1500,41,2000,3,JK-1500,4
42&KW-0500,42,2000,3,KW-0500,1
43&TB-0200,43,2000,3,TB-0200,7
43&JF-1400,43,2000,3,JF-1400,1
44&BJ-1400,44,2000,3,BJ-1400,3
44&RC-2800,44,2000,3,RC-2800,1
45&BF-0100,45,2000,4,BF-0100,1
